,emoji,sentiment
1838,👩🏼‍🌾,"AnalyzerOutput(output=NEU, probas={NEU: 0.964, POS: 0.028, NEG: 0.008})"
1839,👩🏼‍🦰,"AnalyzerOutput(output=NEU, probas={NEU: 0.955, POS: 0.039, NEG: 0.006})"
1840,👩🏽‍⚖️,"AnalyzerOutput(output=NEU, probas={NEU: 0.959, NEG: 0.028, POS: 0.013})"
1841,👩🏽‍🚒,"AnalyzerOutput(output=NEU, probas={NEU: 0.957, POS: 0.036, NEG: 0.007})"
1842,👩🏽‍🦱,"AnalyzerOutput(output=NEU, probas={NEU: 0.953, POS: 0.041, NEG: 0.006})"
1843,👰🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
1844,💃🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.938, POS: 0.057, NEG: 0.005})"
1845,💅🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.060, NEG: 0.005})"
1846,📇,"AnalyzerOutput(output=NEU, probas={NEU: 0.943, POS: 0.048, NEG: 0.009})"
1847,🔠,"AnalyzerOutput(output=NEU, probas={NEU: 0.955, POS: 0.037, NEG: 0.008})"
1848,🗄️,"AnalyzerOutput(output=NEU, probas={NEU: 0.932, POS: 0.061, NEG: 0.007})"
1849,🙅🏻‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
1850,🙆🏼‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
1851,🙆🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.953, POS: 0.043, NEG: 0.004})"
1852,🙇🏾‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.973, POS: 0.020, NEG: 0.008})"
1853,🙍,"AnalyzerOutput(output=NEU, probas={NEU: 0.883, NEG: 0.096, POS: 0.021})"
1854,🚴🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.958, POS: 0.036, NEG: 0.006})"
1855,🚴🏻‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
1856,🚴🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.032, NEG: 0.006})"
1857,🛥️,"AnalyzerOutput(output=NEU, probas={NEU: 0.900, POS: 0.094, NEG: 0.006})"
1858,🤚🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.946, POS: 0.049, NEG: 0.005})"
1859,🤵,"AnalyzerOutput(output=NEU, probas={NEU: 0.952, POS: 0.042, NEG: 0.006})"
1860,🤵🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.960, POS: 0.034, NEG: 0.006})"
1861,🤵🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.965, POS: 0.029, NEG: 0.006})"
1862,🦹🏻‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
1863,🧘🏻‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
1864,🧙🏻‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
1865,🧙🏼‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
1866,*️⃣,"AnalyzerOutput(output=NEU, probas={NEU: 0.944, POS: 0.050, NEG: 0.006})"
1867,☸️,"AnalyzerOutput(output=NEU, probas={NEU: 0.941, POS: 0.053, NEG: 0.006})"
1868,♑,"AnalyzerOutput(output=NEU, probas={NEU: 0.919, POS: 0.074, NEG: 0.007})"
1869,🇨🇼,"AnalyzerOutput(output=NEU, probas={NEU: 0.942, POS: 0.049, NEG: 0.009})"
1870,🇶,"AnalyzerOutput(output=NEU, probas={NEU: 0.902, POS: 0.052, NEG: 0.046})"
1871,🇷🇪,"AnalyzerOutput(output=NEU, probas={NEU: 0.945, POS: 0.046, NEG: 0.009})"
1872,🇸🇿,"AnalyzerOutput(output=NEU, probas={NEU: 0.946, POS: 0.042, NEG: 0.012})"
1873,🇻🇨,"AnalyzerOutput(output=NEU, probas={NEU: 0.951, POS: 0.040, NEG: 0.008})"
1874,🏃🏿‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.023, NEG: 0.008})"
1875,🏊🏻‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
1876,🏋️‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
1877,🏟️,"AnalyzerOutput(output=NEU, probas={NEU: 0.928, POS: 0.063, NEG: 0.009})"
1878,👍️,"AnalyzerOutput(output=POS, probas={POS: 0.517, NEU: 0.480, NEG: 0.003})"
1879,👧🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.944, POS: 0.049, NEG: 0.007})"
1880,👨🏻‍💼,"AnalyzerOutput(output=NEU, probas={NEU: 0.954, POS: 0.040, NEG: 0.006})"
1881,👨🏼‍⚖️,"AnalyzerOutput(output=NEU, probas={NEU: 0.964, NEG: 0.021, POS: 0.015})"
1882,👨🏼‍💻,"AnalyzerOutput(output=NEU, probas={NEU: 0.947, POS: 0.046, NEG: 0.006})"
1883,👨🏽‍🎤,"AnalyzerOutput(output=NEU, probas={NEU: 0.951, POS: 0.042, NEG: 0.007})"
1884,👨🏽‍🏫,"AnalyzerOutput(output=NEU, probas={NEU: 0.954, POS: 0.038, NEG: 0.008})"
1885,👨🏾‍🎓,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.023, NEG: 0.008})"
1886,👨🏾‍🏫,"AnalyzerOutput(output=NEU, probas={NEU: 0.965, POS: 0.026, NEG: 0.009})"
1887,👨🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.957, POS: 0.034, NEG: 0.009})"
1888,👨🏿‍🔬,"AnalyzerOutput(output=NEU, probas={NEU: 0.936, POS: 0.058, NEG: 0.006})"
1889,👩🏻‍🎨,"AnalyzerOutput(output=NEU, probas={NEU: 0.944, POS: 0.050, NEG: 0.006})"
1890,👩🏼‍⚖️,"AnalyzerOutput(output=NEU, probas={NEU: 0.962, NEG: 0.026, POS: 0.013})"
1891,👩🏼‍🎨,"AnalyzerOutput(output=NEU, probas={NEU: 0.948, POS: 0.047, NEG: 0.005})"
1892,👩🏾‍⚕️,"AnalyzerOutput(output=NEU, probas={NEU: 0.968, POS: 0.024, NEG: 0.008})"
1893,👩🏾‍🏫,"AnalyzerOutput(output=NEU, probas={NEU: 0.966, POS: 0.025, NEG: 0.009})"
1894,👩🏾‍🔬,"AnalyzerOutput(output=NEU, probas={NEU: 0.949, POS: 0.046, NEG: 0.005})"
1895,👩🏾‍🦱,"AnalyzerOutput(output=NEU, probas={NEU: 0.952, POS: 0.043, NEG: 0.006})"
1896,👩🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.961, POS: 0.029, NEG: 0.010})"
1897,👮🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.967, POS: 0.023, NEG: 0.010})"
1898,👱‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
1899,👴🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.964, POS: 0.025, NEG: 0.011})"
1900,👶🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.941, POS: 0.054, NEG: 0.005})"
1901,👷🏼‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
1902,👷🏾‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.973, POS: 0.020, NEG: 0.008})"
1903,👷🏿‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.023, NEG: 0.008})"
1904,💁🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.952, POS: 0.044, NEG: 0.005})"
1905,💆🏻‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
1906,📠,"AnalyzerOutput(output=NEU, probas={NEU: 0.939, POS: 0.053, NEG: 0.009})"
1907,🕢,"AnalyzerOutput(output=NEU, probas={NEU: 0.932, POS: 0.062, NEG: 0.006})"
1908,🕴,"AnalyzerOutput(output=NEU, probas={NEU: 0.816, POS: 0.181, NEG: 0.003})"
1909,🗾,"AnalyzerOutput(output=NEU, probas={NEU: 0.958, POS: 0.035, NEG: 0.007})"
1910,🙅🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.843, NEG: 0.146, POS: 0.011})"
1911,🙅🏽‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.965, POS: 0.028, NEG: 0.007})"
1912,🙅🏿‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.023, NEG: 0.008})"
1913,🙎‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
1914,🙎‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
1915,🚴🏾‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.973, POS: 0.020, NEG: 0.008})"
1916,🚴🏿‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.023, NEG: 0.008})"
1917,🚶🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.955, POS: 0.040, NEG: 0.005})"
1918,🚶🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.951, POS: 0.044, NEG: 0.006})"
1919,🛀🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.956, POS: 0.039, NEG: 0.005})"
1920,🤟🏿,"AnalyzerOutput(output=POS, probas={POS: 0.974, NEU: 0.025, NEG: 0.001})"
1921,🤰🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.970, NEG: 0.016, POS: 0.014})"
1922,🤴🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.941, POS: 0.054, NEG: 0.005})"
1923,🤶🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.059, NEG: 0.006})"
1924,🤸🏼‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
1925,🦱,"AnalyzerOutput(output=NEU, probas={NEU: 0.936, POS: 0.056, NEG: 0.008})"
1926,🦵🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.961, POS: 0.030, NEG: 0.009})"
1927,🦸🏻‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
1928,🦸🏼‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
1929,🦸🏼‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
1930,🦹,"AnalyzerOutput(output=NEU, probas={NEU: 0.902, POS: 0.087, NEG: 0.011})"
1931,🦹🏼‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
1932,🧑🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.958, POS: 0.035, NEG: 0.008})"
1933,🧒🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.955, POS: 0.038, NEG: 0.007})"
1934,🧔🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.949, POS: 0.046, NEG: 0.006})"
1935,🧕🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.968, POS: 0.024, NEG: 0.008})"
1936,🧗‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
1937,🧘🏼‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
1938,🧚🏻‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
1939,🧚🏽‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.965, POS: 0.028, NEG: 0.007})"
1940,🧛🏻‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
1941,🧞‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
1942,♈,"AnalyzerOutput(output=NEU, probas={NEU: 0.924, POS: 0.067, NEG: 0.009})"
1943,⚱️,"AnalyzerOutput(output=NEU, probas={NEU: 0.696, NEG: 0.292, POS: 0.012})"
1944,⛎,"AnalyzerOutput(output=NEU, probas={NEU: 0.952, POS: 0.034, NEG: 0.014})"
1945,✍️🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.955, POS: 0.038, NEG: 0.007})"
1946,🇧🇲,"AnalyzerOutput(output=NEU, probas={NEU: 0.932, POS: 0.061, NEG: 0.007})"
1947,🇬🇶,"AnalyzerOutput(output=NEU, probas={NEU: 0.962, POS: 0.025, NEG: 0.012})"
1948,🇬🇼,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.017, NEG: 0.014})"
1949,🇰🇾,"AnalyzerOutput(output=NEU, probas={NEU: 0.955, POS: 0.038, NEG: 0.007})"
1950,🇹🇱,"AnalyzerOutput(output=NEU, probas={NEU: 0.952, POS: 0.041, NEG: 0.007})"
1951,🈶,"AnalyzerOutput(output=NEG, probas={NEG: 0.523, NEU: 0.470, POS: 0.006})"
1952,🌯,"AnalyzerOutput(output=NEU, probas={NEU: 0.877, POS: 0.114, NEG: 0.009})"
1953,🍛,"AnalyzerOutput(output=NEU, probas={NEU: 0.938, POS: 0.053, NEG: 0.009})"
1954,🎐,"AnalyzerOutput(output=NEU, probas={NEU: 0.936, POS: 0.056, NEG: 0.008})"
1955,🎴,"AnalyzerOutput(output=NEU, probas={NEU: 0.896, POS: 0.099, NEG: 0.005})"
1956,🏃🏽‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.965, POS: 0.028, NEG: 0.007})"
1957,🏄🏻‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
1958,🏋️‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
1959,🏌️‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
1960,🏤,"AnalyzerOutput(output=NEU, probas={NEU: 0.953, POS: 0.038, NEG: 0.009})"
1961,🏯,"AnalyzerOutput(output=NEU, probas={NEU: 0.943, POS: 0.049, NEG: 0.008})"
1962,👃🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.954, POS: 0.037, NEG: 0.008})"
1963,👡,"AnalyzerOutput(output=NEU, probas={NEU: 0.968, POS: 0.023, NEG: 0.008})"
1964,👦🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.950, POS: 0.044, NEG: 0.006})"
1965,👨‍👧‍👧,"AnalyzerOutput(output=NEU, probas={NEU: 0.922, POS: 0.072, NEG: 0.006})"
1966,👨‍👨‍👦‍👦,"AnalyzerOutput(output=NEU, probas={NEU: 0.931, POS: 0.061, NEG: 0.008})"
1967,👨‍🦰,"AnalyzerOutput(output=NEU, probas={NEU: 0.924, POS: 0.069, NEG: 0.007})"
1968,👨🏻‍🍳,"AnalyzerOutput(output=NEU, probas={NEU: 0.954, POS: 0.040, NEG: 0.006})"
1969,👨🏻‍🚒,"AnalyzerOutput(output=NEU, probas={NEU: 0.945, POS: 0.048, NEG: 0.007})"
1970,👨🏼‍🔧,"AnalyzerOutput(output=NEU, probas={NEU: 0.961, POS: 0.034, NEG: 0.006})"
1971,👨🏼‍🦳,"AnalyzerOutput(output=NEU, probas={NEU: 0.953, POS: 0.041, NEG: 0.006})"
1972,👨🏾‍🔧,"AnalyzerOutput(output=NEU, probas={NEU: 0.965, POS: 0.028, NEG: 0.007})"
1973,👨🏿‍⚕️,"AnalyzerOutput(output=NEU, probas={NEU: 0.966, POS: 0.023, NEG: 0.011})"
1974,👨🏿‍🏫,"AnalyzerOutput(output=NEU, probas={NEU: 0.965, POS: 0.024, NEG: 0.010})"
1975,👩‍👦,"AnalyzerOutput(output=NEU, probas={NEU: 0.934, POS: 0.057, NEG: 0.010})"
1976,👩‍🦱,"AnalyzerOutput(output=NEU, probas={NEU: 0.946, POS: 0.046, NEG: 0.008})"
1977,👩🏻‍🔧,"AnalyzerOutput(output=NEU, probas={NEU: 0.959, POS: 0.035, NEG: 0.006})"
1978,👩🏽‍🍳,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.030, NEG: 0.007})"
1979,👩🏽‍🎓,"AnalyzerOutput(output=NEU, probas={NEU: 0.961, POS: 0.032, NEG: 0.007})"
1980,👩🏽‍💼,"AnalyzerOutput(output=NEU, probas={NEU: 0.958, POS: 0.036, NEG: 0.006})"
1981,👰🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.968, POS: 0.025, NEG: 0.006})"
1982,👱🏼‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
1983,👳🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.965, POS: 0.030, NEG: 0.005})"
1984,👴🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.966, POS: 0.022, NEG: 0.012})"
1985,👶🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.951, POS: 0.044, NEG: 0.005})"
1986,👷🏻‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
1987,👸🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.929, POS: 0.066, NEG: 0.005})"
1988,💁🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.954, POS: 0.042, NEG: 0.004})"
1989,💁🏾‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.973, POS: 0.020, NEG: 0.008})"
1990,💁🏾‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.973, POS: 0.020, NEG: 0.008})"
1991,💂‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
1992,💅🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.946, POS: 0.048, NEG: 0.006})"
1993,💆🏼‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
1994,🕞,"AnalyzerOutput(output=NEU, probas={NEU: 0.925, POS: 0.069, NEG: 0.006})"
1995,🕟,"AnalyzerOutput(output=NEU, probas={NEU: 0.937, POS: 0.057, NEG: 0.007})"
1996,🕠,"AnalyzerOutput(output=NEU, probas={NEU: 0.932, POS: 0.062, NEG: 0.006})"
1997,🕥,"AnalyzerOutput(output=NEU, probas={NEU: 0.934, POS: 0.059, NEG: 0.007})"
1998,🕦,"AnalyzerOutput(output=NEU, probas={NEU: 0.949, POS: 0.044, NEG: 0.007})"
1999,🖐️🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.961, POS: 0.033, NEG: 0.006})"
2000,🗃️,"AnalyzerOutput(output=NEU, probas={NEU: 0.936, POS: 0.056, NEG: 0.008})"
2001,🙅🏼‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
2002,🙇🏼‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
2003,🙇🏽‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.965, POS: 0.028, NEG: 0.007})"
2004,🙍‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
2005,🙍🏻‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
2006,🚠,"AnalyzerOutput(output=NEU, probas={NEU: 0.941, POS: 0.053, NEG: 0.006})"
2007,🚶🏿‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.023, NEG: 0.008})"
2008,🤚🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.947, POS: 0.048, NEG: 0.005})"
2009,🤚🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.951, POS: 0.044, NEG: 0.005})"
2010,🤱🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.945, NEG: 0.039, POS: 0.016})"
2011,🤳🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.954, POS: 0.039, NEG: 0.008})"
2012,🤴🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.920, POS: 0.075, NEG: 0.005})"
2013,🤷🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.964, POS: 0.027, NEG: 0.008})"
2014,🤸🏻‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
2015,🤸🏽‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.965, POS: 0.028, NEG: 0.007})"
2016,🤹🏼‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
2017,🤼🏻‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.026, NEG: 0.005})"
2018,🥍,"AnalyzerOutput(output=NEU, probas={NEU: 0.919, POS: 0.073, NEG: 0.007})"
2019,🦰,"AnalyzerOutput(output=NEU, probas={NEU: 0.934, POS: 0.057, NEG: 0.009})"
2020,🦹‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
2021,🦹‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
2022,🧒🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.955, POS: 0.038, NEG: 0.007})"
2023,🧒🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.959, POS: 0.032, NEG: 0.009})"
2024,🧔🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.956, POS: 0.039, NEG: 0.005})"
2025,🧛,"AnalyzerOutput(output=NEU, probas={NEU: 0.889, POS: 0.084, NEG: 0.027})"
2026,🧛🏻‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
2027,🧛🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.948, POS: 0.040, NEG: 0.012})"
2028,☝️🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.960, POS: 0.034, NEG: 0.006})"
2029,⛹️,"AnalyzerOutput(output=NEU, probas={NEU: 0.864, POS: 0.099, NEG: 0.037})"
2030,✌️🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.803, POS: 0.194, NEG: 0.003})"
2031,➗,"AnalyzerOutput(output=NEU, probas={NEU: 0.943, POS: 0.029, NEG: 0.028})"
2032,🆎,"AnalyzerOutput(output=NEU, probas={NEU: 0.964, POS: 0.030, NEG: 0.006})"
2033,🇦🇼,"AnalyzerOutput(output=NEU, probas={NEU: 0.920, POS: 0.073, NEG: 0.007})"
2034,🇧,"AnalyzerOutput(output=NEU, probas={NEU: 0.902, POS: 0.052, NEG: 0.046})"
2035,🇧🇳,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.025, NEG: 0.012})"
2036,🇨,"AnalyzerOutput(output=NEU, probas={NEU: 0.902, POS: 0.052, NEG: 0.046})"
2037,🇩🇬,"AnalyzerOutput(output=NEU, probas={NEU: 0.945, POS: 0.048, NEG: 0.007})"
2038,🇫🇰,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.023, NEG: 0.014})"
2039,🇫🇴,"AnalyzerOutput(output=NEU, probas={NEU: 0.964, POS: 0.028, NEG: 0.008})"
2040,🇬🇮,"AnalyzerOutput(output=NEU, probas={NEU: 0.942, POS: 0.050, NEG: 0.008})"
2041,🇮🇲,"AnalyzerOutput(output=NEU, probas={NEU: 0.945, POS: 0.051, NEG: 0.004})"
2042,🇰,"AnalyzerOutput(output=NEU, probas={NEU: 0.902, POS: 0.052, NEG: 0.046})"
2043,🇰🇳,"AnalyzerOutput(output=NEU, probas={NEU: 0.964, POS: 0.027, NEG: 0.009})"
2044,🇲🇴,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.023, NEG: 0.008})"
2045,🇲🇶,"AnalyzerOutput(output=NEU, probas={NEU: 0.916, POS: 0.078, NEG: 0.005})"
2046,🇲🇸,"AnalyzerOutput(output=NEU, probas={NEU: 0.941, POS: 0.050, NEG: 0.009})"
2047,🇳🇨,"AnalyzerOutput(output=NEU, probas={NEU: 0.961, POS: 0.034, NEG: 0.005})"
2048,🇳🇺,"AnalyzerOutput(output=NEU, probas={NEU: 0.932, POS: 0.061, NEG: 0.007})"
2049,🇼,"AnalyzerOutput(output=NEU, probas={NEU: 0.902, POS: 0.052, NEG: 0.046})"
2050,🈲,"AnalyzerOutput(output=NEU, probas={NEU: 0.512, NEG: 0.482, POS: 0.006})"
2051,🎅🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.930, POS: 0.065, NEG: 0.005})"
2052,🎅🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.917, POS: 0.077, NEG: 0.006})"
2053,🎌,"AnalyzerOutput(output=NEU, probas={NEU: 0.940, POS: 0.051, NEG: 0.009})"
2054,🏃🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.971, POS: 0.022, NEG: 0.008})"
2055,🏄🏼‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
2056,🏄🏾‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.973, POS: 0.020, NEG: 0.008})"
2057,🏊🏼‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
2058,🏊🏽‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.965, POS: 0.028, NEG: 0.007})"
2059,🏊🏾‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.973, POS: 0.020, NEG: 0.008})"
2060,🏌,"AnalyzerOutput(output=NEU, probas={NEU: 0.904, POS: 0.092, NEG: 0.004})"
2061,🏧,"AnalyzerOutput(output=NEU, probas={NEU: 0.954, POS: 0.038, NEG: 0.008})"
2062,👂🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.952, POS: 0.042, NEG: 0.006})"
2063,👃🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.950, POS: 0.043, NEG: 0.007})"
2064,👝,"AnalyzerOutput(output=NEU, probas={NEU: 0.911, POS: 0.083, NEG: 0.006})"
2065,👨‍❤️‍👨,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.019, NEG: 0.017})"
2066,👨‍🎤,"AnalyzerOutput(output=NEU, probas={NEU: 0.919, POS: 0.073, NEG: 0.007})"
2067,👨‍🎨,"AnalyzerOutput(output=NEU, probas={NEU: 0.890, POS: 0.104, NEG: 0.006})"
2068,👨‍👨‍👦,"AnalyzerOutput(output=NEU, probas={NEU: 0.925, POS: 0.068, NEG: 0.007})"
2069,👨‍👨‍👧,"AnalyzerOutput(output=NEU, probas={NEU: 0.930, POS: 0.062, NEG: 0.007})"
2070,👨‍👨‍👧‍👧,"AnalyzerOutput(output=NEU, probas={NEU: 0.937, POS: 0.055, NEG: 0.008})"
2071,👨‍🦲,"AnalyzerOutput(output=NEU, probas={NEU: 0.932, NEG: 0.041, POS: 0.027})"
2072,👨🏻‍🔧,"AnalyzerOutput(output=NEU, probas={NEU: 0.960, POS: 0.034, NEG: 0.006})"
2073,👨🏼‍🍳,"AnalyzerOutput(output=NEU, probas={NEU: 0.959, POS: 0.035, NEG: 0.006})"
